Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2975.0,180.0,14.0,618.0,92.0,2793.0,225.0,248.0,153.0,1950.0,2,32,Lodgepole Pine
3072.0,27.0,6.0,85.0,0.0,3747.0,217.0,226.0,145.0,949.0,0,21,Spruce/Fir
2593.0,151.0,13.0,190.0,62.0,216.0,237.0,239.0,130.0,1604.0,0,29,Lodgepole Pine
3123.0,135.0,11.0,0.0,0.0,6425.0,237.0,235.0,127.0,2227.0,0,28,Spruce/Fir
3021.0,227.0,19.0,277.0,105.0,2986.0,189.0,254.0,197.0,2014.0,2,32,Lodgepole Pine
3149.0,82.0,7.0,212.0,40.0,4997.0,230.0,228.0,132.0,1387.0,0,28,Spruce/Fir
3215.0,281.0,20.0,210.0,61.0,4606.0,162.0,238.0,213.0,3424.0,0,28,Spruce/Fir
2949.0,273.0,10.0,268.0,53.0,5166.0,192.0,243.0,190.0,1200.0,0,29,Lodgepole Pine
3107.0,326.0,7.0,60.0,11.0,4712.0,203.0,232.0,168.0,2605.0,0,28,Lodgepole Pine
3170.0,79.0,11.0,666.0,89.0,1266.0,234.0,220.0,117.0,2457.0,2,31,Spruce/Fir
3201.0,199.0,17.0,750.0,117.0,404.0,212.0,252.0,170.0,2469.0,2,22,Lodgepole Pine
2939.0,79.0,5.0,424.0,11.0,1015.0,226.0,231.0,139.0,2163.0,0,22,Lodgepole Pine
2832.0,335.0,28.0,285.0,126.0,2964.0,147.0,191.0,176.0,1775.0,0,28,Lodgepole Pine
3130.0,77.0,20.0,564.0,194.0,1308.0,240.0,199.0,81.0,2335.0,2,32,Spruce/Fir
3241.0,167.0,6.0,108.0,1.0,2654.0,225.0,242.0,151.0,1095.0,0,21,Spruce/Fir
2631.0,180.0,1.0,240.0,27.0,1766.0,219.0,239.0,157.0,781.0,2,1,Ponderosa Pine
2730.0,64.0,8.0,240.0,-25.0,1347.0,228.0,224.0,129.0,849.0,2,10,Lodgepole Pine
2642.0,54.0,17.0,323.0,75.0,569.0,228.0,201.0,101.0,1825.0,0,11,Lodgepole Pine
2966.0,292.0,3.0,60.0,-1.0,5195.0,212.0,238.0,165.0,2584.0,0,18,Spruce/Fir
2971.0,51.0,20.0,42.0,-2.0,1273.0,225.0,191.0,91.0,1224.0,2,30,Lodgepole Pine
2988.0,36.0,21.0,212.0,26.0,5028.0,213.0,188.0,102.0,2971.0,0,28,Spruce/Fir
3175.0,45.0,32.0,658.0,59.0,3046.0,209.0,153.0,0.0,2768.0,2,23,Lodgepole Pine
3124.0,336.0,20.0,391.0,119.0,2495.0,170.0,207.0,174.0,2486.0,2,23,Spruce/Fir
3110.0,36.0,17.0,437.0,40.0,4886.0,217.0,200.0,113.0,379.0,0,29,Lodgepole Pine
2359.0,27.0,26.0,277.0,115.0,1426.0,199.0,175.0,100.0,607.0,3,9,Ponderosa Pine
2790.0,189.0,11.0,192.0,78.0,531.0,221.0,248.0,160.0,2148.0,2,3,Lodgepole Pine
2992.0,278.0,13.0,258.0,94.0,2391.0,185.0,242.0,196.0,1455.0,2,30,Lodgepole Pine
2754.0,263.0,17.0,30.0,4.0,1148.0,177.0,246.0,207.0,1418.0,2,12,Lodgepole Pine
3133.0,128.0,13.0,182.0,42.0,5113.0,242.0,231.0,116.0,1556.0,0,28,Spruce/Fir
2825.0,60.0,9.0,216.0,34.0,2121.0,227.0,221.0,127.0,1930.0,2,12,Lodgepole Pine
2939.0,187.0,15.0,212.0,27.0,4620.0,221.0,250.0,159.0,2672.0,0,29,Lodgepole Pine
3029.0,271.0,11.0,210.0,-5.0,2636.0,192.0,244.0,191.0,1396.0,2,22,Lodgepole Pine
2952.0,229.0,22.0,430.0,132.0,1253.0,181.0,254.0,203.0,182.0,2,12,Lodgepole Pine
3373.0,176.0,9.0,1006.0,171.0,3089.0,225.0,245.0,153.0,1106.0,2,37,Spruce/Fir
3050.0,63.0,14.0,270.0,59.0,5648.0,232.0,211.0,108.0,4749.0,0,11,Lodgepole Pine
2749.0,139.0,32.0,153.0,82.0,3091.0,248.0,211.0,65.0,6210.0,0,29,Lodgepole Pine
2975.0,316.0,16.0,335.0,99.0,2779.0,177.0,225.0,188.0,2279.0,0,28,Lodgepole Pine
3162.0,123.0,13.0,589.0,-44.0,417.0,242.0,230.0,114.0,1950.0,2,22,Lodgepole Pine
3071.0,319.0,14.0,335.0,-49.0,2014.0,182.0,226.0,183.0,2256.0,2,31,Lodgepole Pine
3089.0,149.0,13.0,42.0,1.0,842.0,236.0,239.0,130.0,1994.0,0,28,Spruce/Fir
2904.0,157.0,22.0,400.0,155.0,1831.0,238.0,237.0,118.0,959.0,2,12,Aspen
2798.0,45.0,3.0,424.0,89.0,3050.0,220.0,232.0,149.0,6401.0,0,11,Spruce/Fir
3139.0,86.0,31.0,85.0,32.0,1310.0,247.0,172.0,30.0,812.0,2,21,Krummholz
3016.0,38.0,18.0,268.0,11.0,4447.0,217.0,197.0,110.0,808.0,0,28,Lodgepole Pine
3109.0,126.0,6.0,511.0,25.0,216.0,231.0,236.0,137.0,1630.0,2,22,Lodgepole Pine
2702.0,332.0,6.0,127.0,24.0,1320.0,207.0,233.0,165.0,3161.0,0,29,Lodgepole Pine
2820.0,67.0,23.0,60.0,10.0,1530.0,235.0,188.0,73.0,1024.0,2,32,Lodgepole Pine
3155.0,198.0,10.0,134.0,23.0,6636.0,217.0,249.0,166.0,2105.0,0,28,Lodgepole Pine
3196.0,142.0,13.0,242.0,-11.0,1082.0,239.0,236.0,124.0,2554.0,0,21,Spruce/Fir
3237.0,96.0,21.0,0.0,0.0,2381.0,249.0,203.0,72.0,2992.0,0,28,Lodgepole Pine
3274.0,100.0,11.0,531.0,229.0,3810.0,238.0,226.0,118.0,2181.0,2,31,Spruce/Fir
2887.0,329.0,22.0,270.0,115.0,3861.0,163.0,209.0,183.0,957.0,0,28,Lodgepole Pine
2779.0,333.0,2.0,30.0,2.0,1711.0,214.0,236.0,160.0,2410.0,2,16,Aspen
3279.0,357.0,4.0,150.0,35.0,2232.0,213.0,232.0,157.0,2097.0,1,22,Lodgepole Pine
2797.0,40.0,8.0,330.0,147.0,1458.0,221.0,222.0,135.0,2184.0,2,32,Lodgepole Pine
2655.0,345.0,15.0,95.0,40.0,2420.0,190.0,216.0,164.0,1289.0,2,9,Lodgepole Pine
2980.0,85.0,18.0,42.0,7.0,1574.0,243.0,206.0,86.0,1922.0,2,31,Lodgepole Pine
3099.0,125.0,18.0,85.0,24.0,2809.0,247.0,224.0,98.0,3833.0,0,21,Spruce/Fir
3028.0,178.0,14.0,420.0,-38.0,1489.0,225.0,247.0,151.0,1142.0,0,28,Lodgepole Pine
3206.0,90.0,7.0,300.0,25.0,5710.0,231.0,229.0,132.0,2410.0,0,28,Spruce/Fir
3050.0,157.0,14.0,192.0,10.0,3305.0,235.0,241.0,134.0,939.0,2,31,Lodgepole Pine
3193.0,325.0,16.0,30.0,9.0,2910.0,178.0,220.0,181.0,4122.0,0,38,Spruce/Fir
3408.0,12.0,18.0,391.0,193.0,4417.0,199.0,201.0,135.0,3853.0,2,38,Krummholz
2887.0,45.0,12.0,404.0,57.0,2223.0,223.0,214.0,123.0,2349.0,0,28,Lodgepole Pine
2391.0,323.0,19.0,342.0,65.0,1080.0,170.0,217.0,186.0,1068.0,3,9,Douglas-fir
3156.0,159.0,7.0,95.0,10.0,4564.0,228.0,242.0,146.0,1100.0,0,28,Spruce/Fir
3060.0,90.0,11.0,446.0,92.0,2907.0,237.0,222.0,114.0,6321.0,0,28,Spruce/Fir
3196.0,7.0,18.0,774.0,88.0,3019.0,196.0,202.0,140.0,2651.0,2,23,Lodgepole Pine
3191.0,171.0,6.0,319.0,59.0,3057.0,224.0,243.0,153.0,3553.0,0,38,Spruce/Fir
2491.0,69.0,12.0,162.0,63.0,850.0,233.0,216.0,113.0,541.0,3,9,Douglas-fir
2602.0,151.0,18.0,283.0,61.0,631.0,240.0,237.0,120.0,2396.0,0,29,Lodgepole Pine
3062.0,76.0,15.0,268.0,-9.0,2133.0,238.0,210.0,99.0,1559.0,0,22,Spruce/Fir
2905.0,352.0,5.0,30.0,4.0,1317.0,211.0,231.0,158.0,2457.0,2,19,Spruce/Fir
2835.0,95.0,14.0,210.0,70.0,1584.0,241.0,219.0,104.0,1544.0,2,32,Aspen
3086.0,90.0,8.0,30.0,-3.0,3904.0,233.0,227.0,127.0,1176.0,0,22,Spruce/Fir
3206.0,307.0,10.0,153.0,23.0,807.0,193.0,234.0,181.0,808.0,1,23,Spruce/Fir
2320.0,22.0,36.0,85.0,68.0,1401.0,173.0,139.0,79.0,1048.0,3,9,Ponderosa Pine
2746.0,53.0,9.0,0.0,0.0,2941.0,226.0,221.0,129.0,4897.0,0,19,Lodgepole Pine
3207.0,230.0,16.0,433.0,0.0,702.0,194.0,253.0,194.0,2101.0,2,32,Lodgepole Pine
2912.0,335.0,15.0,42.0,5.0,1392.0,186.0,219.0,172.0,1560.0,2,22,Lodgepole Pine
2922.0,92.0,23.0,150.0,55.0,6241.0,248.0,198.0,66.0,4213.0,0,28,Lodgepole Pine
2733.0,32.0,8.0,175.0,29.0,2399.0,219.0,224.0,141.0,5496.0,0,11,Lodgepole Pine
3088.0,308.0,11.0,212.0,-6.0,2329.0,190.0,233.0,183.0,1015.0,2,22,Spruce/Fir
2328.0,51.0,10.0,361.0,104.0,755.0,225.0,219.0,127.0,127.0,3,5,Ponderosa Pine
3115.0,14.0,14.0,150.0,29.0,693.0,206.0,210.0,139.0,1742.0,0,21,Lodgepole Pine
3415.0,10.0,13.0,860.0,223.0,1015.0,206.0,214.0,145.0,819.0,1,32,Spruce/Fir
2700.0,204.0,5.0,124.0,16.0,1019.0,217.0,244.0,163.0,466.0,2,1,Ponderosa Pine
2614.0,333.0,24.0,127.0,26.0,1610.0,158.0,202.0,179.0,2876.0,2,9,Douglas-fir
3049.0,113.0,18.0,418.0,156.0,2195.0,248.0,218.0,91.0,1442.0,2,12,Lodgepole Pine
3021.0,60.0,5.0,180.0,0.0,2881.0,224.0,229.0,140.0,1276.0,0,22,Lodgepole Pine
3250.0,163.0,15.0,190.0,26.0,3301.0,233.0,243.0,137.0,2010.0,0,28,Spruce/Fir
2866.0,45.0,7.0,339.0,14.0,1134.0,222.0,225.0,138.0,2714.0,2,31,Spruce/Fir
2695.0,91.0,18.0,85.0,19.0,1800.0,245.0,208.0,86.0,201.0,2,32,Spruce/Fir
3188.0,86.0,15.0,234.0,13.0,3168.0,240.0,215.0,101.0,5071.0,0,29,Spruce/Fir
2900.0,61.0,5.0,371.0,33.0,4080.0,224.0,229.0,141.0,6429.0,0,19,Lodgepole Pine
2970.0,132.0,12.0,124.0,34.0,1717.0,240.0,233.0,121.0,524.0,2,31,Lodgepole Pine
3094.0,260.0,15.0,591.0,87.0,6025.0,181.0,247.0,204.0,1602.0,0,29,Lodgepole Pine
2945.0,106.0,17.0,108.0,29.0,2072.0,247.0,216.0,92.0,912.0,0,29,Spruce/Fir
3050.0,11.0,10.0,571.0,16.0,6386.0,210.0,221.0,147.0,3426.0,0,28,Lodgepole Pine
3127.0,45.0,7.0,234.0,43.0,3644.0,222.0,225.0,138.0,1249.0,0,28,Spruce/Fir
3311.0,209.0,13.0,108.0,-4.0,3589.0,210.0,252.0,175.0,1775.0,2,31,Spruce/Fir
3149.0,355.0,15.0,402.0,94.0,3036.0,193.0,211.0,155.0,2547.0,2,31,Spruce/Fir
3185.0,45.0,8.0,150.0,-5.0,2542.0,223.0,223.0,135.0,1316.0,2,21,Spruce/Fir
2110.0,312.0,30.0,67.0,46.0,570.0,126.0,202.0,209.0,247.0,3,9,Ponderosa Pine
3412.0,322.0,8.0,390.0,39.0,2250.0,200.0,232.0,171.0,2681.0,2,37,Krummholz
2569.0,34.0,17.0,192.0,84.0,1001.0,215.0,200.0,115.0,1468.0,2,9,Lodgepole Pine
2742.0,109.0,19.0,30.0,8.0,2292.0,248.0,216.0,88.0,306.0,2,12,Lodgepole Pine
3229.0,161.0,12.0,283.0,27.0,2610.0,232.0,243.0,140.0,1242.0,2,30,Lodgepole Pine
2995.0,62.0,17.0,509.0,4.0,6470.0,232.0,203.0,98.0,2881.0,0,29,Lodgepole Pine
2842.0,121.0,20.0,376.0,65.0,1969.0,250.0,219.0,88.0,2007.0,2,12,Lodgepole Pine
2240.0,133.0,32.0,256.0,162.0,649.0,251.0,206.0,58.0,175.0,3,2,Cottonwood/Willow
2238.0,356.0,25.0,255.0,73.0,391.0,172.0,188.0,147.0,391.0,3,9,Lodgepole Pine
3072.0,352.0,3.0,120.0,3.0,2163.0,214.0,233.0,158.0,2190.0,2,31,Lodgepole Pine
3030.0,317.0,12.0,150.0,15.0,3534.0,187.0,229.0,182.0,876.0,2,21,Spruce/Fir
3160.0,97.0,6.0,362.0,79.0,1362.0,229.0,232.0,137.0,3382.0,2,32,Spruce/Fir
3277.0,275.0,22.0,182.0,47.0,4420.0,156.0,239.0,220.0,1620.0,2,38,Spruce/Fir
3064.0,325.0,21.0,210.0,23.0,1940.0,162.0,212.0,187.0,1745.0,2,32,Lodgepole Pine
3786.0,320.0,13.0,865.0,340.0,5085.0,187.0,228.0,181.0,3170.0,2,39,Krummholz
2677.0,8.0,3.0,210.0,7.0,1486.0,216.0,232.0,154.0,5610.0,0,28,Lodgepole Pine
3198.0,12.0,21.0,60.0,18.0,1831.0,194.0,193.0,130.0,2162.0,2,32,Lodgepole Pine
3101.0,56.0,11.0,865.0,262.0,882.0,227.0,218.0,123.0,1425.0,0,29,Lodgepole Pine
2627.0,115.0,17.0,0.0,0.0,1931.0,247.0,221.0,96.0,860.0,2,10,Lodgepole Pine
3028.0,330.0,17.0,182.0,29.0,2612.0,178.0,218.0,178.0,2220.0,2,23,Spruce/Fir
2849.0,223.0,11.0,30.0,3.0,722.0,205.0,251.0,181.0,582.0,2,22,Spruce/Fir
2099.0,11.0,12.0,0.0,0.0,882.0,207.0,214.0,144.0,218.0,3,3,Cottonwood/Willow
2089.0,39.0,29.0,67.0,23.0,134.0,208.0,165.0,75.0,470.0,3,9,Ponderosa Pine
3319.0,90.0,8.0,85.0,16.0,1492.0,233.0,227.0,127.0,3387.0,1,21,Lodgepole Pine
2628.0,164.0,12.0,30.0,-9.0,1595.0,231.0,244.0,142.0,949.0,0,29,Lodgepole Pine
3078.0,290.0,20.0,67.0,26.0,1784.0,159.0,232.0,212.0,306.0,2,22,Spruce/Fir
3257.0,329.0,15.0,534.0,50.0,908.0,184.0,221.0,177.0,2065.0,0,38,Krummholz
2982.0,319.0,5.0,90.0,1.0,5309.0,207.0,235.0,167.0,2525.0,0,22,Lodgepole Pine
2965.0,9.0,12.0,591.0,50.0,2781.0,206.0,215.0,146.0,1441.0,2,30,Lodgepole Pine
2656.0,42.0,17.0,192.0,47.0,390.0,220.0,201.0,111.0,258.0,2,9,Lodgepole Pine
2644.0,145.0,18.0,684.0,236.0,663.0,242.0,234.0,115.0,1290.0,2,3,Ponderosa Pine
3102.0,298.0,26.0,361.0,-1.0,1307.0,139.0,220.0,217.0,2952.0,0,28,Spruce/Fir
3287.0,49.0,5.0,234.0,20.0,4881.0,222.0,229.0,142.0,592.0,0,28,Lodgepole Pine
3414.0,310.0,18.0,499.0,73.0,1708.0,168.0,225.0,196.0,618.0,2,38,Krummholz
2394.0,326.0,21.0,30.0,12.0,636.0,164.0,212.0,185.0,1262.0,3,9,Douglas-fir
3137.0,158.0,7.0,95.0,12.0,1289.0,228.0,241.0,147.0,2084.0,0,22,Spruce/Fir
2837.0,90.0,3.0,285.0,19.0,3582.0,224.0,234.0,146.0,6272.0,0,19,Lodgepole Pine
2931.0,99.0,10.0,30.0,0.0,977.0,237.0,226.0,119.0,2227.0,0,22,Lodgepole Pine
3294.0,127.0,2.0,696.0,133.0,1338.0,223.0,237.0,150.0,1641.0,1,23,Spruce/Fir
3326.0,127.0,24.0,268.0,100.0,1825.0,251.0,217.0,79.0,3026.0,0,38,Spruce/Fir
2920.0,61.0,7.0,474.0,-7.0,819.0,226.0,225.0,133.0,2326.0,0,11,Lodgepole Pine
3120.0,186.0,16.0,488.0,113.0,1964.0,221.0,250.0,157.0,2022.0,2,32,Lodgepole Pine
2985.0,255.0,7.0,382.0,92.0,5303.0,205.0,244.0,178.0,977.0,0,29,Lodgepole Pine
2546.0,289.0,19.0,30.0,-4.0,2219.0,162.0,234.0,210.0,2340.0,2,10,Spruce/Fir
2903.0,125.0,17.0,228.0,65.0,912.0,246.0,226.0,102.0,2099.0,2,32,Lodgepole Pine
3019.0,220.0,21.0,0.0,0.0,1466.0,191.0,254.0,193.0,150.0,2,22,Lodgepole Pine
3170.0,97.0,8.0,323.0,22.0,5620.0,233.0,229.0,129.0,1784.0,0,19,Spruce/Fir
2913.0,175.0,12.0,342.0,-28.0,5431.0,226.0,246.0,151.0,3870.0,0,28,Lodgepole Pine
2346.0,336.0,20.0,30.0,7.0,808.0,171.0,208.0,174.0,1095.0,3,9,Douglas-fir
3160.0,77.0,9.0,470.0,49.0,424.0,232.0,223.0,122.0,5753.0,1,22,Spruce/Fir
3121.0,355.0,11.0,309.0,40.0,1195.0,202.0,221.0,156.0,2658.0,2,30,Spruce/Fir
2336.0,308.0,24.0,234.0,42.0,1142.0,147.0,217.0,206.0,815.0,3,1,Ponderosa Pine
2756.0,45.0,5.0,175.0,11.0,1965.0,221.0,229.0,143.0,1082.0,0,11,Lodgepole Pine
3187.0,75.0,13.0,713.0,251.0,1172.0,236.0,215.0,108.0,2259.0,2,32,Lodgepole Pine
2858.0,116.0,22.0,150.0,31.0,1020.0,251.0,213.0,78.0,285.0,0,29,Spruce/Fir
2756.0,90.0,5.0,134.0,11.0,404.0,227.0,232.0,139.0,2646.0,2,30,Lodgepole Pine
3382.0,50.0,15.0,443.0,103.0,1914.0,226.0,207.0,112.0,1772.0,0,34,Spruce/Fir
3042.0,0.0,13.0,120.0,10.0,990.0,200.0,215.0,152.0,95.0,2,23,Spruce/Fir
2794.0,67.0,28.0,210.0,97.0,934.0,235.0,172.0,50.0,1194.0,2,12,Lodgepole Pine
3106.0,183.0,14.0,60.0,3.0,2989.0,223.0,249.0,155.0,3275.0,0,29,Spruce/Fir
3049.0,210.0,4.0,564.0,107.0,2913.0,217.0,243.0,163.0,1106.0,2,31,Spruce/Fir
2312.0,284.0,26.0,190.0,70.0,808.0,139.0,230.0,225.0,350.0,3,9,Ponderosa Pine
3251.0,230.0,8.0,499.0,17.0,391.0,208.0,247.0,176.0,720.0,2,31,Lodgepole Pine
2544.0,34.0,18.0,42.0,13.0,750.0,215.0,199.0,114.0,997.0,2,10,Lodgepole Pine
2929.0,60.0,8.0,268.0,1.0,872.0,226.0,224.0,132.0,2341.0,0,22,Lodgepole Pine
2551.0,33.0,30.0,85.0,43.0,892.0,199.0,160.0,80.0,1572.0,2,32,Lodgepole Pine
3064.0,180.0,18.0,134.0,6.0,1614.0,224.0,248.0,150.0,2285.0,2,32,Spruce/Fir
3137.0,139.0,4.0,120.0,0.0,4147.0,227.0,238.0,146.0,1570.0,0,21,Spruce/Fir
3176.0,297.0,24.0,779.0,358.0,1448.0,147.0,224.0,215.0,904.0,2,23,Spruce/Fir
3235.0,0.0,9.0,376.0,22.0,4165.0,207.0,223.0,154.0,552.0,2,23,Spruce/Fir
2690.0,114.0,9.0,95.0,27.0,1790.0,235.0,232.0,128.0,6573.0,0,11,Lodgepole Pine
2887.0,79.0,16.0,371.0,-40.0,514.0,239.0,210.0,96.0,1846.0,0,28,Lodgepole Pine
2960.0,137.0,12.0,30.0,-2.0,4659.0,238.0,235.0,126.0,3260.0,0,28,Spruce/Fir
2551.0,110.0,19.0,127.0,37.0,1500.0,249.0,215.0,86.0,1392.0,2,3,Ponderosa Pine
2364.0,340.0,24.0,42.0,12.0,765.0,163.0,197.0,169.0,1128.0,3,9,Douglas-fir
2975.0,184.0,14.0,85.0,13.0,5508.0,223.0,249.0,156.0,2608.0,0,28,Spruce/Fir
2934.0,72.0,10.0,430.0,70.0,3027.0,232.0,221.0,120.0,2416.0,0,28,Lodgepole Pine
2859.0,27.0,13.0,376.0,82.0,1481.0,214.0,212.0,132.0,2769.0,2,32,Lodgepole Pine
3172.0,164.0,15.0,216.0,38.0,900.0,233.0,243.0,137.0,2154.0,1,32,Spruce/Fir
2299.0,218.0,6.0,390.0,37.0,108.0,214.0,246.0,168.0,351.0,3,9,Ponderosa Pine
2834.0,352.0,18.0,323.0,100.0,2524.0,185.0,205.0,156.0,722.0,2,23,Lodgepole Pine
3143.0,53.0,10.0,120.0,32.0,2458.0,226.0,219.0,127.0,1839.0,0,28,Spruce/Fir
2565.0,221.0,19.0,95.0,22.0,1326.0,194.0,254.0,191.0,1176.0,2,3,Ponderosa Pine
2657.0,83.0,12.0,95.0,-7.0,1290.0,237.0,219.0,112.0,663.0,0,22,Lodgepole Pine
2877.0,159.0,17.0,30.0,3.0,3391.0,236.0,241.0,129.0,1978.0,0,11,Lodgepole Pine
3120.0,96.0,14.0,285.0,82.0,212.0,241.0,219.0,105.0,1637.0,0,21,Lodgepole Pine
2792.0,99.0,9.0,277.0,-5.0,1074.0,235.0,228.0,125.0,2612.0,0,28,Lodgepole Pine
2979.0,204.0,10.0,210.0,48.0,1824.0,215.0,249.0,169.0,1532.0,2,31,Lodgepole Pine
3227.0,50.0,7.0,150.0,3.0,3092.0,224.0,225.0,136.0,2296.0,0,28,Spruce/Fir
2939.0,36.0,18.0,0.0,0.0,636.0,216.0,198.0,112.0,2391.0,0,28,Lodgepole Pine
3181.0,72.0,11.0,30.0,5.0,5005.0,233.0,219.0,117.0,811.0,0,21,Spruce/Fir
2797.0,186.0,23.0,450.0,-39.0,1350.0,216.0,249.0,154.0,800.0,2,12,Lodgepole Pine
2686.0,5.0,6.0,42.0,0.0,1608.0,213.0,229.0,154.0,1215.0,0,19,Spruce/Fir
2940.0,254.0,19.0,495.0,154.0,2213.0,174.0,249.0,211.0,1851.0,2,32,Lodgepole Pine
3179.0,225.0,11.0,228.0,30.0,1020.0,205.0,251.0,182.0,2070.0,1,22,Spruce/Fir
3313.0,171.0,15.0,400.0,113.0,3093.0,229.0,246.0,144.0,579.0,2,31,Spruce/Fir
3304.0,332.0,12.0,480.0,29.0,2468.0,191.0,224.0,172.0,811.0,2,31,Spruce/Fir
2858.0,120.0,16.0,60.0,2.0,4133.0,246.0,225.0,103.0,3270.0,0,28,Spruce/Fir
2995.0,64.0,19.0,351.0,79.0,4709.0,234.0,198.0,89.0,3732.0,0,28,Spruce/Fir
2532.0,103.0,6.0,255.0,9.0,295.0,231.0,232.0,134.0,1304.0,0,17,Lodgepole Pine
2964.0,307.0,22.0,212.0,38.0,1874.0,154.0,221.0,205.0,1523.0,2,32,Lodgepole Pine
3101.0,73.0,10.0,277.0,30.0,2652.0,232.0,221.0,121.0,2898.0,2,31,Lodgepole Pine
2110.0,54.0,25.0,342.0,150.0,390.0,225.0,177.0,71.0,466.0,3,0,Ponderosa Pine
